Group,Donor,FundingUSD,OutstandingPledgesUSD
America,United States,445526726,0
Europe,United Kingdom,144540917,0
Others,World Bank,139598831,100572090
Europe,Germany,131553846,0
Others,Private (individuals & organisations),123972892,17088747
America,Canada,72298557,0
Asia,Japan,60543825,0
Europe,Sweden,58918045,0
Africa,African Development Bank,46373230,17400000
Europe,Netherlands,36854042,0
Europe,European Commission,32586078,0
Others,Carry-over (donors not specified),24783814,0
Europe,Norway,24164261,0
Europe,Belgium,20620185,0
Europe,Switzerland,20215045,0
Others,Central Emergency Response Fund (CERF),17149846,0
Asia,China,14000000,0
Ocenia,Australia,13213697,0
Europe,France,12553100,0
Europe,Denmark,12535745,0
Europe,Finland,12242399,0
Asia,India,10500000,0
Europe,Spain,10449207,0
Asia,Israel,8770000,500000
America,Brazil,8250778,0
Others,Others,52906628,5000000
